grid,rho,tolerance,timer,run,time_s
64,10,1e-4,accumulateHaloNUFFT1,6,4.4638e-05
64,10,1e-4,accumulateHaloNUFFT1,7,5.0495e-05
64,10,1e-4,accumulateHaloNUFFT1,8,4.7647e-05
64,10,1e-4,accumulateHaloNUFFT1,9,4.7519e-05
64,10,1e-4,accumulateHaloNUFFT1,10,4.8383e-05
64,10,1e-4,accumulateHaloNUFFT1,11,5.2094e-05
64,10,1e-4,accumulateHaloNUFFT1,12,4.7135e-05
64,10,1e-4,accumulateHaloNUFFT1,13,4.8606e-05
64,10,1e-4,accumulateHaloNUFFT1,14,4.7999e-05
64,10,1e-4,accumulateHaloNUFFT1,15,4.6174e-05
64,10,1e-4,accumulateHaloNUFFT1,16,4.7295e-05
64,10,1e-4,accumulateHaloNUFFT1,17,5.0591e-05
64,10,1e-4,accumulateHaloNUFFT1,18,4.8254e-05
64,10,1e-4,accumulateHaloNUFFT1,19,4.7135e-05
64,10,1e-4,accumulateHaloNUFFT1,20,4.7711e-05
64,10,1e-4,accumulateHaloNUFFT1,21,4.6975e-05
64,10,1e-4,accumulateHaloNUFFT1,22,4.5599e-05
64,10,1e-4,accumulateHaloNUFFT1,23,4.6782e-05
64,10,1e-4,accumulateHaloNUFFT1,24,4.9598e-05
64,10,1e-4,FFTNUFFT1,0,0.126190298
64,10,1e-4,FFTNUFFT1,1,0.001855664
64,10,1e-4,FFTNUFFT1,2,0.001852879
64,10,1e-4,FFTNUFFT1,3,0.00177733
64,10,1e-4,FFTNUFFT1,4,0.001850863
64,10,1e-4,FFTNUFFT1,5,0.001811281
64,10,1e-4,FFTNUFFT1,6,0.001807249
64,10,1e-4,FFTNUFFT1,7,0.001728755
64,10,1e-4,FFTNUFFT1,8,0.001785457
64,10,1e-4,FFTNUFFT1,9,0.001790801
64,10,1e-4,FFTNUFFT1,10,0.001807696
64,10,1e-4,FFTNUFFT1,11,0.001733299
64,10,1e-4,FFTNUFFT1,12,0.001753842
64,10,1e-4,FFTNUFFT1,13,0.00176373
64,10,1e-4,FFTNUFFT1,14,0.001724563
64,10,1e-4,FFTNUFFT1,15,0.001779154
64,10,1e-4,FFTNUFFT1,16,0.001790001
64,10,1e-4,FFTNUFFT1,17,0.001743698
64,10,1e-4,FFTNUFFT1,18,0.001722067
64,10,1e-4,FFTNUFFT1,19,0.001731826
64,10,1e-4,FFTNUFFT1,20,0.001774865
64,10,1e-4,FFTNUFFT1,21,0.001775762
64,10,1e-4,FFTNUFFT1,22,0.001739891
64,10,1e-4,FFTNUFFT1,23,0.001754002
64,10,1e-4,FFTNUFFT1,24,0.001743219
64,10,1e-4,TwiddleAdd,0,7.4014e-05
64,10,1e-4,TwiddleAdd,1,4.9183e-05
64,10,1e-4,TwiddleAdd,2,4.7967e-05
64,10,1e-4,TwiddleAdd,3,4.9631e-05
64,10,1e-4,TwiddleAdd,4,4.5502e-05
64,10,1e-4,TwiddleAdd,5,4.9023e-05
64,10,1e-4,TwiddleAdd,6,4.5951e-05
64,10,1e-4,TwiddleAdd,7,4.8255e-05
64,10,1e-4,TwiddleAdd,8,4.6239e-05
64,10,1e-4,TwiddleAdd,9,4.9438e-05
64,10,1e-4,TwiddleAdd,10,4.5951e-05
64,10,1e-4,TwiddleAdd,11,4.9631e-05
64,10,1e-4,TwiddleAdd,12,4.5215e-05
64,10,1e-4,TwiddleAdd,13,4.8767e-05
64,10,1e-4,TwiddleAdd,14,4.5343e-05
64,10,1e-4,TwiddleAdd,15,4.9503e-05
64,10,1e-4,TwiddleAdd,16,4.5855e-05
64,10,1e-4,TwiddleAdd,17,4.9727e-05
64,10,1e-4,TwiddleAdd,18,4.6271e-05
64,10,1e-4,TwiddleAdd,19,4.8927e-05
64,10,1e-4,TwiddleAdd,20,4.4863e-05
64,10,1e-4,TwiddleAdd,21,4.8862e-05
64,10,1e-4,TwiddleAdd,22,4.483e-05
64,10,1e-4,TwiddleAdd,23,4.9406e-05
64,10,1e-4,TwiddleAdd,24,4.4703e-05
64,10,1e-4,TwiddleAdd,25,4.8766e-05
64,10,1e-4,TwiddleAdd,26,4.5759e-05
64,10,1e-4,TwiddleAdd,27,4.8638e-05
64,10,1e-4,TwiddleAdd,28,4.5663e-05
64,10,1e-4,TwiddleAdd,29,4.8478e-05
64,10,1e-4,TwiddleAdd,30,4.4703e-05
64,10,1e-4,TwiddleAdd,31,4.8351e-05
64,10,1e-4,TwiddleAdd,32,4.4735e-05
64,10,1e-4,TwiddleAdd,33,4.8703e-05
64,10,1e-4,TwiddleAdd,34,4.5247e-05
64,10,1e-4,TwiddleAdd,35,4.8383e-05
64,10,1e-4,TwiddleAdd,36,4.4383e-05
64,10,1e-4,TwiddleAdd,37,4.8574e-05
64,10,1e-4,TwiddleAdd,38,4.5119e-05
64,10,1e-4,TwiddleAdd,39,4.9887e-05
64,10,1e-4,TwiddleAdd,40,4.6303e-05
64,10,1e-4,TwiddleAdd,41,4.8254e-05
64,10,1e-4,TwiddleAdd,42,4.4959e-05
64,10,1e-4,TwiddleAdd,43,4.8895e-05
64,10,1e-4,TwiddleAdd,44,4.3903e-05
64,10,1e-4,TwiddleAdd,45,4.7935e-05
64,10,1e-4,TwiddleAdd,46,4.4735e-05
64,10,1e-4,TwiddleAdd,47,4.8767e-05
64,10,1e-4,TwiddleAdd,48,4.5534e-05
64,10,1e-4,TwiddleAdd,49,4.8031e-05
64,10,1e-4,prunedFFT,0,0.126177434
64,10,1e-4,prunedFFT,1,0.001850288
64,10,1e-4,prunedFFT,2,0.001847792
64,10,1e-4,prunedFFT,3,0.00177237
64,10,1e-4,prunedFFT,4,0.001845871
64,10,1e-4,prunedFFT,5,0.001806385
64,10,1e-4,prunedFFT,6,0.001802385
64,10,1e-4,prunedFFT,7,0.001723827
64,10,1e-4,prunedFFT,8,0.001780465
64,10,1e-4,prunedFFT,9,0.001785905
64,10,1e-4,prunedFFT,10,0.001802768
64,10,1e-4,prunedFFT,11,0.001728307
64,10,1e-4,prunedFFT,12,0.001748914
64,10,1e-4,prunedFFT,13,0.001758738
64,10,1e-4,prunedFFT,14,0.001719603
64,10,1e-4,prunedFFT,15,0.001774258
64,10,1e-4,prunedFFT,16,0.001784945
64,10,1e-4,prunedFFT,17,0.001738738
64,10,1e-4,prunedFFT,18,0.001717043
64,10,1e-4,prunedFFT,19,0.001726803
64,10,1e-4,prunedFFT,20,0.001770001
64,10,1e-4,prunedFFT,21,0.001770866
64,10,1e-4,prunedFFT,22,0.001735059
64,10,1e-4,prunedFFT,23,0.001749138
64,10,1e-4,prunedFFT,24,0.001738323
64,10,1e-4,subFFTs,0,0.124600419
64,10,1e-4,subFFTs,1,0.000884745
64,10,1e-4,subFFTs,2,0.00090484
64,10,1e-4,subFFTs,3,0.000814763
64,10,1e-4,subFFTs,4,0.000901513
64,10,1e-4,subFFTs,5,0.000822315
64,10,1e-4,subFFTs,6,0.000864297
64,10,1e-4,subFFTs,7,0.000786315
64,10,1e-4,subFFTs,8,0.000892681
64,10,1e-4,subFFTs,9,0.000831082
64,10,1e-4,subFFTs,10,0.000892072
64,10,1e-4,subFFTs,11,0.000792139
64,10,1e-4,subFFTs,12,0.000859081
64,10,1e-4,subFFTs,13,0.000821898
64,10,1e-4,subFFTs,14,0.000848394
64,10,1e-4,subFFTs,15,0.00075342
64,10,1e-4,subFFTs,16,0.000879625
64,10,1e-4,subFFTs,17,0.000777963
64,10,1e-4,subFFTs,18,0.000883625
64,10,1e-4,subFFTs,19,0.000780363
64,10,1e-4,subFFTs,20,0.000870377
64,10,1e-4,subFFTs,21,0.000811275
64,10,1e-4,subFFTs,22,0.000849034
64,10,1e-4,subFFTs,23,0.000758349
64,10,1e-4,subFFTs,24,0.000846057
64,10,1e-4,subFFTs,25,0.000782252
64,10,1e-4,subFFTs,26,0.000867785
64,10,1e-4,subFFTs,27,0.000768876
64,10,1e-4,subFFTs,28,0.000833386
