method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
Tiled,uniform,1,8,20971520,128,10.0,1863.5420,0.1120,1863.4253,1863.6690,1863.5053,11.25,88.86,ok
OutputFocused,uniform,1,8,20971520,128,10.0,88.9443,0.1153,88.8527,89.1355,88.9077,235.78,4.24,ok
Tiled,uniform,2,8,20971520,128,10.0,405.3279,0.0719,405.2243,405.4106,405.3285,51.74,19.33,ok
OutputFocused,uniform,2,8,20971520,128,10.0,69.7866,0.0537,69.7221,69.8541,69.7724,300.51,3.33,ok
Tiled,uniform,3,8,20971520,128,10.0,287.1854,0.1881,286.9576,287.4037,287.2320,73.02,13.69,ok
OutputFocused,uniform,3,8,20971520,128,10.0,72.5508,0.0344,72.5316,72.6120,72.5357,289.06,3.46,ok
Tiled,uniform,4,8,20971520,128,10.0,266.4648,0.2237,266.1246,266.7343,266.5238,78.70,12.71,ok
OutputFocused,uniform,4,8,20971520,128,10.0,192.2206,0.1180,192.1096,192.3983,192.2264,109.10,9.17,ok
Tiled,uniform,5,8,20971520,128,10.0,267.7863,0.6495,267.1187,268.8498,267.7522,78.31,12.77,ok
OutputFocused,uniform,5,8,20971520,128,10.0,110.7156,0.0368,110.6666,110.7620,110.7161,189.42,5.28,ok
Tiled,uniform,6,8,20971520,128,10.0,320.9613,0.2838,320.6080,321.3526,320.9986,65.34,15.30,ok
OutputFocused,uniform,6,8,20971520,128,10.0,137.5878,0.0317,137.5379,137.6146,137.6025,152.42,6.56,ok
Tiled,uniform,7,8,20971520,128,10.0,433.6579,0.2310,433.4234,434.0372,433.5934,48.36,20.68,ok
OutputFocused,uniform,7,8,20971520,128,10.0,nan,nan,nan,nan,nan,nan,nan,failed
Tiled,uniform,8,8,20971520,128,10.0,nan,nan,nan,nan,nan,nan,nan,failed
OutputFocused,uniform,8,8,20971520,128,10.0,nan,nan,nan,nan,nan,nan,nan,failed
