time, Ex_field_energy, Ex_max_norm
1.9500000000e+00 2.2170474396e+02 2.2264022693e+00
2.0000000000e+00 2.2317587944e+02 2.5361916140e+00
2.0500000000e+00 2.2348168503e+02 2.5409568476e+00
2.1000000000e+00 2.2332709167e+02 2.2181035988e+00
2.1500000000e+00 2.2544225423e+02 2.1461281232e+00
2.2000000000e+00 2.2719620138e+02 1.9554910947e+00
2.2500000000e+00 2.2820624333e+02 2.0722453011e+00
2.3000000000e+00 2.2824163047e+02 2.0381667609e+00
2.3500000000e+00 2.2800938442e+02 2.0401166237e+00
2.4000000000e+00 2.2688351659e+02 2.0784192426e+00
2.4500000000e+00 2.2358150305e+02 2.0796214956e+00
2.5000000000e+00 2.2174446516e+02 2.3818900044e+00
2.5500000000e+00 2.2207847409e+02 2.4183748835e+00
2.6000000000e+00 2.2098601963e+02 2.2714311928e+00
2.6500000000e+00 2.2035965655e+02 2.1167738517e+00
2.7000000000e+00 2.1773383660e+02 1.9240980737e+00
2.7500000000e+00 2.1620268309e+02 1.8724609565e+00
2.8000000000e+00 2.1671964399e+02 1.9266625781e+00
2.8500000000e+00 2.1579380122e+02 2.0284898843e+00
2.9000000000e+00 2.1541753815e+02 2.1411046055e+00
2.9500000000e+00 2.1434453087e+02 2.0206690876e+00
3.0000000000e+00 2.1299147905e+02 1.9360008574e+00
3.0500000000e+00 2.1173736323e+02 1.7909717763e+00
3.1000000000e+00 2.0994614157e+02 2.1244411888e+00
3.1500000000e+00 2.0687403642e+02 2.3002021527e+00
3.2000000000e+00 2.0354003459e+02 2.4911644899e+00
3.2500000000e+00 1.9983156907e+02 2.3991921210e+00
3.3000000000e+00 1.9682944382e+02 2.2944660017e+00
3.3500000000e+00 1.9502915882e+02 2.1606137803e+00
3.4000000000e+00 1.9215256773e+02 1.9942047688e+00
3.4500000000e+00 1.8961615417e+02 1.8419167590e+00
3.5000000000e+00 1.8895699206e+02 2.2193040611e+00
3.5500000000e+00 1.8992354171e+02 2.4273208287e+00
3.6000000000e+00 1.9087647333e+02 2.1482951964e+00
3.6500000000e+00 1.9372925752e+02 1.9814437272e+00
3.7000000000e+00 1.9693743880e+02 2.0286943739e+00
3.7500000000e+00 2.0136932453e+02 2.1054054061e+00
3.8000000000e+00 2.0495582693e+02 2.3421922713e+00
3.8500000000e+00 2.0750144438e+02 2.2924626431e+00
3.9000000000e+00 2.0938166334e+02 2.0242147999e+00
3.9500000000e+00 2.1088966755e+02 2.1330343427e+00
4.0000000000e+00 2.1074720193e+02 2.4532325719e+00
4.0500000000e+00 2.0996368870e+02 2.5797495137e+00
4.1000000000e+00 2.0856735671e+02 2.0598980525e+00
4.1500000000e+00 2.0709830546e+02 2.0712420618e+00
4.2000000000e+00 2.0604028246e+02 2.0655987511e+00
4.2500000000e+00 2.0431239345e+02 1.9453859070e+00
4.3000000000e+00 2.0227465094e+02 2.0595626195e+00
4.3500000000e+00 2.0076463663e+02 1.7812506436e+00
4.4000000000e+00 1.9980332615e+02 1.9979407966e+00
4.4500000000e+00 2.0085686893e+02 2.1001460618e+00
4.5000000000e+00 2.0221761072e+02 2.1034060099e+00
4.5500000000e+00 2.0239310452e+02 2.1170984629e+00
4.6000000000e+00 2.0284246487e+02 2.1240273403e+00
4.6500000000e+00 2.0481196002e+02 1.9614438619e+00
4.7000000000e+00 2.0645574173e+02 2.2200997169e+00
4.7500000000e+00 2.0691108506e+02 2.2702165246e+00
4.8000000000e+00 2.0553372554e+02 2.2715560241e+00
4.8500000000e+00 2.0336723217e+02 2.4081166367e+00
4.9000000000e+00 2.0192713311e+02 2.5947644312e+00
4.9500000000e+00 2.0115367431e+02 2.6021280522e+00
5.0000000000e+00 1.9962370550e+02 2.3576365146e+00
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 5.5855047719e+02 6.4288326100e+00
5.0000000000e-02 5.5753944927e+02 5.9103320475e+00
1.0000000000e-01 5.5481534391e+02 6.4855277881e+00
1.5000000000e-01 5.5128152106e+02 8.8988565913e+00
2.0000000000e-01 5.4958719990e+02 7.0468384501e+00
2.5000000000e-01 5.4765305036e+02 7.0302042060e+00
3.0000000000e-01 5.4604521175e+02 5.7673576598e+00
3.5000000000e-01 5.4640741973e+02 6.5769794999e+00
4.0000000000e-01 5.4408082682e+02 6.4210177315e+00
4.5000000000e-01 5.3840950664e+02 6.0235519021e+00
5.0000000000e-01 5.3515083172e+02 6.5360738474e+00
5.5000000000e-01 5.3593427580e+02 6.1590789602e+00
6.0000000000e-01 5.2953870415e+02 6.3120058955e+00
6.5000000000e-01 5.2819671441e+02 5.7067486042e+00
7.0000000000e-01 5.1923544259e+02 7.8863980252e+00
7.5000000000e-01 5.1200034857e+02 5.4175276730e+00
8.0000000000e-01 5.1470374308e+02 7.1024485645e+00
8.5000000000e-01 5.1394522255e+02 7.9166067126e+00
9.0000000000e-01 5.0678733574e+02 6.3869156498e+00
9.5000000000e-01 5.0650556147e+02 5.2332088632e+00
1.0000000000e+00 5.1015552663e+02 7.1310589637e+00
1.0500000000e+00 5.0896519125e+02 5.7676478117e+00
1.1000000000e+00 5.1127342562e+02 6.1208512622e+00
1.1500000000e+00 5.0872518808e+02 6.4323604399e+00
1.2000000000e+00 5.0534494237e+02 5.9979786303e+00
1.2500000000e+00 5.0594171266e+02 6.3157069621e+00
1.3000000000e+00 5.0244716901e+02 6.4270433842e+00
1.3500000000e+00 5.0380556731e+02 6.9794940669e+00
1.4000000000e+00 5.0300618181e+02 6.0464999345e+00
1.4500000000e+00 4.9874952876e+02 6.2940181758e+00
1.5000000000e+00 4.9960969329e+02 5.9172645199e+00
1.5500000000e+00 4.9913591077e+02 6.8570883027e+00
1.6000000000e+00 4.9775316077e+02 5.9715188531e+00
1.6500000000e+00 4.9864099921e+02 6.3083912159e+00
1.7000000000e+00 4.9711186981e+02 6.5998915438e+00
1.7500000000e+00 4.9958651856e+02 6.9069653124e+00
1.8000000000e+00 5.0070378801e+02 8.4611508506e+00
1.8500000000e+00 5.0223518204e+02 7.0191654449e+00
1.9000000000e+00 5.0515156172e+02 6.6064874823e+00
1.9500000000e+00 5.0154121372e+02 6.5352626479e+00
2.0000000000e+00 5.0578696417e+02 6.2179027758e+00
2.0500000000e+00 5.0474221523e+02 6.5708396047e+00
2.1000000000e+00 5.0364872943e+02 7.0141362207e+00
2.1500000000e+00 5.1063256398e+02 6.5459375205e+00
2.2000000000e+00 5.0752126163e+02 6.7446152181e+00
2.2500000000e+00 5.0755150223e+02 5.9521221257e+00
2.3000000000e+00 5.0493939590e+02 5.5988426901e+00
2.3500000000e+00 5.0521602032e+02 5.7283681664e+00
2.4000000000e+00 5.0805430155e+02 5.6185448624e+00
2.4500000000e+00 5.0557816259e+02 5.6725399585e+00
2.5000000000e+00 5.0382244731e+02 5.3075320438e+00
2.5500000000e+00 5.0277704275e+02 5.9378143219e+00
2.6000000000e+00 5.0478786107e+02 6.1197694293e+00
