time,residue,iterations
3.45,9.45441e-11,240
3.5,9.30769e-11,240
3.55,9.31169e-11,240
3.6,9.32004e-11,240
3.65,9.39335e-11,240
3.7,9.62605e-11,240
3.75,9.79626e-11,240
3.8,8.71993e-11,241
3.85,8.78342e-11,241
3.9,8.75609e-11,241
3.95,8.77109e-11,241
4,8.75675e-11,241
4.05,8.59548e-11,241
4.1,9.88047e-11,240
4.15,9.70955e-11,240
4.2,9.29866e-11,240
4.25,9.30731e-11,240
4.3,8.69519e-11,240
4.35,8.88384e-11,240
4.4,9.93726e-11,239
4.45,8.7545e-11,240
4.5,8.92534e-11,240
4.55,9.17361e-11,240
4.6,9.51461e-11,240
4.65,9.81871e-11,240
4.7,8.39316e-11,241
4.75,8.45607e-11,241
4.8,8.5585e-11,241
4.85,8.44907e-11,241
4.9,8.57019e-11,241
4.95,8.43191e-11,241
time,residue,iterations
0,9.75741e-11,508
0,9.50749e-11,486
0.0490874,9.45808e-11,486
0.0981748,9.419e-11,486
0.147262,9.3585e-11,486
0.19635,9.23272e-11,486
0.245437,9.21044e-11,486
0.294524,9.2914e-11,486
0.343612,9.5376e-11,486
0.392699,9.80249e-11,486
0.441786,8.88644e-11,487
0.490874,9.06481e-11,487
0.539961,9.18772e-11,487
time,residue,iterations
0,0.0211056,1000
time,residue,iterations
0.05,nan,0
0.1,nan,0
0.15,nan,0
0.2,nan,0
0.25,nan,0
0.3,nan,0
0.35,nan,0
0.4,nan,0
0.45,nan,0
0.5,nan,0
0.55,nan,0
0.6,nan,0
0.65,nan,0
0.7,nan,0
0.75,nan,0
0.8,nan,0
0.85,nan,0
0.9,nan,0
0.95,nan,0
1,nan,0
1.05,nan,0
1.1,nan,0
1.15,nan,0
1.2,nan,0
1.25,nan,0
1.3,nan,0
1.35,nan,0
1.4,nan,0
1.45,nan,0
1.5,nan,0
1.55,nan,0
1.6,nan,0
1.65,nan,0
1.7,nan,0
1.75,nan,0
1.8,nan,0
1.85,nan,0
1.9,nan,0
1.95,nan,0
2,nan,0
2.05,nan,0
2.1,nan,0
2.15,nan,0
2.2,nan,0
2.25,nan,0
2.3,nan,0
2.35,nan,0
2.4,nan,0
2.45,nan,0
2.5,nan,0
2.55,nan,0
2.6,nan,0
2.65,nan,0
2.7,nan,0
2.75,nan,0
2.8,nan,0
2.85,nan,0
2.9,nan,0
2.95,nan,0
3,nan,0
3.05,nan,0
3.1,nan,0
3.15,nan,0
3.2,nan,0
3.25,nan,0
3.3,nan,0
3.35,nan,0
3.4,nan,0
3.45,nan,0
3.5,nan,0
3.55,nan,0
3.6,nan,0
3.65,nan,0
3.7,nan,0
3.75,nan,0
3.8,nan,0
3.85,nan,0
3.9,nan,0
3.95,nan,0
4,nan,0
4.05,nan,0
4.1,nan,0
4.15,nan,0
4.2,nan,0
4.25,nan,0
4.3,nan,0
4.35,nan,0
4.4,nan,0
4.45,nan,0
4.5,nan,0
4.55,nan,0
4.6,nan,0
4.65,nan,0
4.7,nan,0
4.75,nan,0
4.8,nan,0
4.85,nan,0
4.9,nan,0
4.95,nan,0
time,residue,iterations
0,0.0211056,1000
time,residue,iterations
time,residue,iterations
0,0.0211056,1000
0,32.6099,1000
0.05,0.000618045,1000
0.1,4.56352,1000
0.15,0.000222009,1000
0.2,0.148783,1000
0.25,0.120203,1000
0.3,1.21676,1000
0.35,0.21743,1000
0.4,186.972,1000
0.45,0.000415113,1000
0.5,3.42529,1000
0.55,0.304559,1000
0.6,0.117049,1000
0.65,2.84055,1000
time,residue,iterations
0,5.98704e-07,212
0,5.53031e-07,203
0.05,5.55277e-07,203
0.1,5.50873e-07,203
0.15,6.78991e-07,202
0.2,6.74051e-07,202
0.25,6.74559e-07,202
0.3,6.80967e-07,202
0.35,6.83061e-07,202
0.4,5.57435e-07,203
0.45,5.63441e-07,203
0.5,5.69445e-07,203
0.55,5.80267e-07,203
0.6,5.87693e-07,203
